company_name,order_id,order_date,customer_id,customer_name,city,state,product_category,product_name,order_value,discount_percent,payment_mode,delivery_days,rating
BharatKart Retail Pvt Ltd,5271,2023-01-01 00:00:00,2516,Vikas Gupta,Mumbai,TS,Home,Mobile,88743.0,20,,13,3
BharatKart Retail Pvt Ltd,2220,2023-01-01 01:00:00,5658,Priya Singh,,TS,Fashion,Sofa,23597.0,10,Card,14,1
BharatKart Retail Pvt Ltd,1537,2023-01-01 02:00:00,881,Rahul Verma,Delhi,,Grocery,,48598.0,30,,6,4
BharatKart Retail Pvt Ltd,3550,2023-01-01 03:00:00,2006,Vikas Gupta,Pune,DL,Home,Shirt,72738.0,10,UPI,7,3
BharatKart Retail Pvt Ltd,6699,2023-01-01 04:00:00,3769,Priya Singh,Bangalore,KA,Home,Sofa,19335.0,20,UPI,6,5
BharatKart Retail Pvt Ltd,5307,2023-01-01 05:00:00,5215,Priya Singh,unknown,TS,Electronics,Mobile,25073.0,10,COD,1,3
BharatKart Retail Pvt Ltd,1919,2023-01-01 06:00:00,1759,Vikas Gupta,Bangalore,TN,,Mobile,116023.0,20,,5,4
BharatKart Retail Pvt Ltd,6735,2023-01-01 07:00:00,3636,Rahul Verma,Bangalore,TN,Grocery,Laptop,78965.0,30,,2,2
BharatKart Retail Pvt Ltd,2372,2023-01-01 08:00:00,5673,Vikas Gupta,Hyderabad,MH,Electronics,Sofa,117889.0,20,Card,9,1
BharatKart Retail Pvt Ltd,4257,2023-01-01 09:00:00,4712,Amit Sharma,Bangalore,TS,Electronics,Shirt,1558.0,,COD,7,3
BharatKart Retail Pvt Ltd,8566,2023-01-01 10:00:00,4391,Vikas Gupta,Bangalore,DL,Grocery,Rice,49690.0,20,Card,2,
BharatKart Retail Pvt Ltd,3583,2023-01-01 11:00:00,3357,Sneha Patil,Hyderabad,TS,Electronics,Sofa,,0,COD,3,1
BharatKart Retail Pvt Ltd,4656,2023-01-01 12:00:00,1687,,Hyderabad,,Grocery,Mobile,97722.0,10,,10,4
BharatKart Retail Pvt Ltd,5441,2023-01-01 13:00:00,2701,Sneha Patil,Bangalore,,Home,,39204.0,5,COD,12,4
BharatKart Retail Pvt Ltd,5462,2023-01-01 14:00:00,1655,,Chennai,DL,Electronics,Laptop,30995.0,5,Card,3,3
BharatKart Retail Pvt Ltd,7698,2023-01-01 15:00:00,5762,Priya Singh,Hyderabad,DL,Fashion,Shirt,70741.0,20,UPI,3,1
BharatKart Retail Pvt Ltd,3778,2023-01-01 16:00:00,143,Priya Singh,Pune,,Electronics,Mobile,92358.0,30,,1,
BharatKart Retail Pvt Ltd,6000,2023-01-01 17:00:00,800,Sneha Patil,Hyderabad,KA,Fashion,Rice,,,COD,1,3
BharatKart Retail Pvt Ltd,4239,2023-01-01 18:00:00,3696,Amit Sharma,Chennai,MH,,Laptop,83933.0,,UPI,9,4
BharatKart Retail Pvt Ltd,7118,2023-01-01 19:00:00,3033,Vikas Gupta,Bangalore,,,Rice,,5,COD,14,2
BharatKart Retail Pvt Ltd,2092,2023-01-01 20:00:00,3219,,Delhi,,Fashion,,33707.0,10,UPI,13,3
BharatKart Retail Pvt Ltd,2456,2023-01-01 21:00:00,4028,Priya Singh,,DL,,Mobile,23658.0,0,,2,4
BharatKart Retail Pvt Ltd,7015,2023-01-01 22:00:00,1140,Rahul Verma,Hyderabad,DL,Home,Shirt,104937.0,5,,8,
BharatKart Retail Pvt Ltd,1391,2023-01-01 23:00:00,2318,Rahul Verma,,TN,,Mobile,55379.0,10,Card,8,5
BharatKart Retail Pvt Ltd,8084,2023-01-02 00:00:00,636,Rahul Verma,Pune,,Home,Rice,20077.0,30,,13,1
BharatKart Retail Pvt Ltd,8680,2023-01-02 01:00:00,1785,Vikas Gupta,Delhi,DL,Electronics,Sofa,96571.0,0,,11,1
BharatKart Retail Pvt Ltd,6195,2023-01-02 02:00:00,1241,Sneha Patil,Pune,TS,Grocery,Laptop,35267.0,30,UPI,11,3
BharatKart Retail Pvt Ltd,3871,2023-01-02 03:00:00,4799,Vikas Gupta,Bangalore,KA,Grocery,Sofa,64283.0,20,COD,1,1
BharatKart Retail Pvt Ltd,3298,2023-01-02 04:00:00,1985,Rahul Verma,Hyderabad,KA,Grocery,Shirt,14154.0,5,Card,8,3
BharatKart Retail Pvt Ltd,8174,2023-01-02 05:00:00,154,Rahul Verma,Delhi,TN,,Laptop,109284.0,30,Card,13,
BharatKart Retail Pvt Ltd,8955,2023-01-02 06:00:00,3428,,Pune,KA,Electronics,Mobile,34909.0,0,COD,7,3
BharatKart Retail Pvt Ltd,4516,2023-01-02 07:00:00,5618,Sneha Patil,,,,,24884.0,30,COD,6,4
BharatKart Retail Pvt Ltd,4116,2023-01-02 08:00:00,1207,Vikas Gupta,Hyderabad,KA,Grocery,Laptop,31739.0,20,,4,2
BharatKart Retail Pvt Ltd,4775,2023-01-02 09:00:00,678,Sneha Patil,Mumbai,MH,Grocery,,34172.0,0,Card,8,1
BharatKart Retail Pvt Ltd,2349,2023-01-02 10:00:00,5881,Priya Singh,,DL,Grocery,Mobile,4932.0,30,Card,5,4
BharatKart Retail Pvt Ltd,4896,2023-01-02 11:00:00,5948,Vikas Gupta,,,,Laptop,,30,Card,13,1
BharatKart Retail Pvt Ltd,2176,2023-01-02 12:00:00,5000,Amit Sharma,Mumbai,KA,Home,Sofa,45059.0,,COD,9,2
BharatKart Retail Pvt Ltd,5279,2023-01-02 13:00:00,4360,Rahul Verma,Hyderabad,DL,,Shirt,38105.0,5,UPI,4,4
BharatKart Retail Pvt Ltd,3997,2023-01-02 14:00:00,1090,,Chennai,TN,Electronics,Mobile,98457.0,10,,12,2
BharatKart Retail Pvt Ltd,8280,2023-01-02 15:00:00,4602,Priya Singh,unknown,KA,Fashion,Mobile,29182.0,0,COD,2,3
BharatKart Retail Pvt Ltd,5859,2023-01-02 16:00:00,4669,Rahul Verma,Hyderabad,TS,,,33431.0,20,Card,1,5
BharatKart Retail Pvt Ltd,8357,2023-01-02 17:00:00,4914,Amit Sharma,unknown,MH,Electronics,Mobile,24964.0,20,,9,4
BharatKart Retail Pvt Ltd,5032,2023-01-02 18:00:00,1119,Amit Sharma,Mumbai,KA,Grocery,Sofa,99347.0,30,,9,
BharatKart Retail Pvt Ltd,5386,2023-01-02 19:00:00,4211,Vikas Gupta,,MH,Grocery,Sofa,104777.0,10,UPI,6,4
BharatKart Retail Pvt Ltd,1312,2023-01-02 20:00:00,5630,Priya Singh,,DL,Grocery,Mobile,,0,COD,3,5
BharatKart Retail Pvt Ltd,7345,2023-01-02 21:00:00,852,Priya Singh,Hyderabad,TS,,Laptop,60686.0,0,UPI,5,
BharatKart Retail Pvt Ltd,6582,2023-01-02 22:00:00,945,Priya Singh,Chennai,TS,,Rice,42127.0,,UPI,6,2
BharatKart Retail Pvt Ltd,7694,2023-01-02 23:00:00,4454,Vikas Gupta,Hyderabad,DL,Electronics,Laptop,4065.0,20,UPI,14,4
BharatKart Retail Pvt Ltd,1772,2023-01-03 00:00:00,2763,amit sharma,Bangalore,TN,Electronics,Shirt,41552.0,5,,14,5
BharatKart Retail Pvt Ltd,7638,2023-01-03 01:00:00,3834,Priya Singh,Bangalore,KA,Grocery,Sofa,114636.0,20,,13,
BharatKart Retail Pvt Ltd,2161,2023-01-03 02:00:00,1148,Rahul Verma,Mumbai,TN,Grocery,Rice,65416.0,5,COD,7,1
BharatKart Retail Pvt Ltd,8651,2023-01-03 03:00:00,4695,Vikas Gupta,Bangalore,MH,,Shirt,65235.0,20,COD,2,3
BharatKart Retail Pvt Ltd,2219,2023-01-03 04:00:00,5120,,Hyderabad,DL,Electronics,Laptop,87422.0,5,,3,3
BharatKart Retail Pvt Ltd,8240,2023-01-03 05:00:00,5746,Sneha Patil,Pune,,Home,,85545.0,10,Card,13,3
BharatKart Retail Pvt Ltd,6040,2023-01-03 06:00:00,3908,Amit Sharma,Hyderabad,MH,Fashion,Mobile,12696.0,5,UPI,6,
BharatKart Retail Pvt Ltd,1257,2023-01-03 07:00:00,5920,Sneha Patil,unknown,,,Rice,80250.0,20,COD,14,
BharatKart Retail Pvt Ltd,2728,2023-01-03 08:00:00,3253,Vikas Gupta,,MH,Electronics,Sofa,50723.0,5,Card,1,3
BharatKart Retail Pvt Ltd,3448,2023-01-03 09:00:00,2193,,Chennai,TN,Electronics,,106066.0,10,COD,2,3
BharatKart Retail Pvt Ltd,8542,2023-01-03 10:00:00,343,Rahul Verma,Delhi,DL,,Rice,2093.0,20,Card,11,5
BharatKart Retail Pvt Ltd,7047,2023-01-03 11:00:00,1112,Sneha Patil,,TS,Fashion,Rice,7574.0,,Card,2,2
BharatKart Retail Pvt Ltd,6469,2023-01-03 12:00:00,2846,Sneha Patil,Pune,TS,Grocery,Shirt,37536.0,20,COD,10,
BharatKart Retail Pvt Ltd,3988,2023-01-03 13:00:00,5686,Sneha Patil,Mumbai,DL,Grocery,Rice,70684.0,20,UPI,7,4
BharatKart Retail Pvt Ltd,7748,2023-01-03 14:00:00,432,Priya Singh,Mumbai,TS,Fashion,Shirt,74823.0,5,,1,4
BharatKart Retail Pvt Ltd,1764,2023-01-03 15:00:00,3788,Amit Sharma,Hyderabad,TN,,Rice,17405.0,0,UPI,9,2
BharatKart Retail Pvt Ltd,6703,2023-01-03 16:00:00,5593,Priya Singh,,TN,,Shirt,34823.0,30,UPI,4,4
BharatKart Retail Pvt Ltd,7423,2023-01-03 17:00:00,4108,Amit Sharma,Chennai,,Home,Shirt,51470.0,20,COD,12,
BharatKart Retail Pvt Ltd,8690,2023-01-03 18:00:00,5193,Vikas Gupta,Chennai,MH,Grocery,Mobile,68641.0,20,Card,12,
BharatKart Retail Pvt Ltd,3793,2023-01-03 19:00:00,2733,Vikas Gupta,Delhi,,,Mobile,50870.0,20,Card,10,4
BharatKart Retail Pvt Ltd,3851,2023-01-03 20:00:00,619,Sneha Patil,Chennai,MH,Electronics,Laptop,56051.0,0,COD,13,5
BharatKart Retail Pvt Ltd,6568,2023-01-03 21:00:00,2307,Sneha Patil,Mumbai,TS,Electronics,,47841.0,10,COD,1,1
BharatKart Retail Pvt Ltd,6437,2023-01-03 22:00:00,3051,Vikas Gupta,Bangalore,DL,Electronics,Shirt,115815.0,5,COD,3,2
BharatKart Retail Pvt Ltd,6511,2023-01-03 23:00:00,319,Priya Singh,Hyderabad,TN,Electronics,Shirt,45869.0,30,Card,14,3
BharatKart Retail Pvt Ltd,6271,2023-01-04 00:00:00,432,Rahul Verma,Mumbai,DL,Electronics,Mobile,12638.0,20,COD,10,3
BharatKart Retail Pvt Ltd,1092,2023-01-04 01:00:00,3111,Amit Sharma,Hyderabad,DL,Fashion,Rice,73045.0,20,UPI,9,5
BharatKart Retail Pvt Ltd,5855,2023-01-04 02:00:00,5645,Amit Sharma,Chennai,TN,Home,Sofa,14563.0,30,Card,6,
BharatKart Retail Pvt Ltd,2248,2023-01-04 03:00:00,4484,Sneha Patil,unknown,DL,Home,Sofa,38886.0,30,UPI,2,2
BharatKart Retail Pvt Ltd,2685,2023-01-04 04:00:00,689,,Pune,TN,Grocery,,,20,Card,13,5
BharatKart Retail Pvt Ltd,3404,2023-01-04 05:00:00,1062,,Pune,KA,Grocery,Mobile,103295.0,,COD,1,
BharatKart Retail Pvt Ltd,1931,2023-01-04 06:00:00,2112,Priya Singh,Bangalore,,Grocery,,33670.0,20,Card,8,4
BharatKart Retail Pvt Ltd,7625,2023-01-04 07:00:00,5727,Amit Sharma,Pune,TS,Grocery,Shirt,16325.0,30,UPI,12,5
BharatKart Retail Pvt Ltd,3627,2023-01-04 08:00:00,3788,,Pune,KA,Grocery,Rice,7139.0,5,Card,4,2
BharatKart Retail Pvt Ltd,6339,2023-01-04 09:00:00,1339,Amit Sharma,,DL,Home,Rice,88136.0,10,Card,12,2
BharatKart Retail Pvt Ltd,5577,2023-01-04 10:00:00,5031,Vikas Gupta,,TS,Home,Shirt,13891.0,,,1,3
BharatKart Retail Pvt Ltd,6139,2023-01-04 11:00:00,5775,Vikas Gupta,Hyderabad,,,Sofa,68154.0,,UPI,4,5
BharatKart Retail Pvt Ltd,8067,2023-01-04 12:00:00,5951,Rahul Verma,Delhi,TS,Grocery,,114187.0,0,COD,4,4
BharatKart Retail Pvt Ltd,8684,2023-01-04 13:00:00,4676,Amit Sharma,,TS,Fashion,Mobile,86751.0,,Card,2,5
BharatKart Retail Pvt Ltd,1787,2023-01-04 14:00:00,5456,Rahul Verma,Delhi,TS,Electronics,Laptop,83051.0,30,Card,8,3
BharatKart Retail Pvt Ltd,1033,2023-01-04 15:00:00,1297,Rahul Verma,Pune,DL,Grocery,Shirt,108004.0,30,UPI,7,3
BharatKart Retail Pvt Ltd,4195,2023-01-04 16:00:00,5772,Vikas Gupta,Hyderabad,MH,Fashion,,16718.0,5,UPI,1,1
BharatKart Retail Pvt Ltd,6406,2023-01-04 17:00:00,3689,,Chennai,KA,Electronics,,51977.0,0,UPI,13,1
BharatKart Retail Pvt Ltd,8865,2023-01-04 18:00:00,5602,Amit Sharma,Chennai,KA,,Sofa,317.0,0,Card,13,3
BharatKart Retail Pvt Ltd,7885,2023-01-04 19:00:00,1111,Vikas Gupta,Mumbai,KA,,,67375.0,,UPI,9,
BharatKart Retail Pvt Ltd,2865,2023-01-04 20:00:00,5893,Amit Sharma,Bangalore,MH,Grocery,Mobile,85372.0,,COD,7,4
BharatKart Retail Pvt Ltd,6085,2023-01-04 21:00:00,4999,Amit Sharma,,MH,Electronics,Sofa,26807.0,10,COD,8,
BharatKart Retail Pvt Ltd,7097,2023-01-04 22:00:00,3217,Sneha Patil,Bangalore,DL,Grocery,Shirt,62540.0,5,,13,4
BharatKart Retail Pvt Ltd,7015,2023-01-04 23:00:00,3259,Rahul Verma,Pune,KA,Electronics,Mobile,92601.0,,UPI,13,1
BharatKart Retail Pvt Ltd,2439,2023-01-05 00:00:00,1664,Sneha Patil,Hyderabad,,Grocery,Sofa,96745.0,10,COD,1,5
BharatKart Retail Pvt Ltd,6250,2023-01-05 01:00:00,1603,,Delhi,TS,,,95376.0,20,COD,3,5
BharatKart Retail Pvt Ltd,6203,2023-01-05 02:00:00,571,Vikas Gupta,,TS,Electronics,Shirt,15867.0,0,Card,5,3
BharatKart Retail Pvt Ltd,5018,2023-01-05 03:00:00,4088,,unknown,MH,Grocery,,102562.0,10,Card,3,3
BharatKart Retail Pvt Ltd,5498,2023-01-05 04:00:00,4438,,Mumbai,MH,Fashion,,119850.0,,Card,13,4
BharatKart Retail Pvt Ltd,7165,2023-01-05 05:00:00,3095,Rahul Verma,Bangalore,TN,Electronics,,,5,,13,
BharatKart Retail Pvt Ltd,6751,2023-01-05 06:00:00,571,Vikas Gupta,Chennai,MH,Home,Laptop,108234.0,30,COD,12,3
BharatKart Retail Pvt Ltd,4651,2023-01-05 07:00:00,3184,Priya Singh,Pune,,Fashion,Sofa,81877.0,10,,11,5
BharatKart Retail Pvt Ltd,7347,2023-01-05 08:00:00,4945,Rahul Verma,Delhi,KA,,Shirt,82121.0,,Card,9,2
BharatKart Retail Pvt Ltd,7074,2023-01-05 09:00:00,2648,Amit Sharma,Mumbai,DL,Fashion,,20555.0,10,,2,3
BharatKart Retail Pvt Ltd,1047,2023-01-05 10:00:00,5853,,Hyderabad,KA,Electronics,Laptop,56513.0,10,UPI,3,5
BharatKart Retail Pvt Ltd,1784,2023-01-05 11:00:00,4710,none,,MH,Electronics,Sofa,2015.0,0,UPI,10,
BharatKart Retail Pvt Ltd,7668,2023-01-05 12:00:00,1705,,Pune,MH,Fashion,Rice,31287.0,,,1,4
BharatKart Retail Pvt Ltd,1349,2023-01-05 13:00:00,2992,vikas gupta,Mumbai,,Home,Sofa,111283.0,5,COD,11,5
BharatKart Retail Pvt Ltd,3155,2023-01-05 14:00:00,1723,Amit Sharma,Chennai,TS,Electronics,Sofa,10511.0,20,COD,3,1
BharatKart Retail Pvt Ltd,8913,2023-01-05 15:00:00,4850,Vikas Gupta,unknown,TS,,Sofa,7772.0,20,COD,4,5
BharatKart Retail Pvt Ltd,5489,2023-01-05 16:00:00,2126,Priya Singh,Hyderabad,TS,Grocery,,25648.0,0,,11,2
BharatKart Retail Pvt Ltd,1844,2023-01-05 17:00:00,3827,Priya Singh,Bangalore,DL,,Shirt,104601.0,10,COD,12,1
BharatKart Retail Pvt Ltd,6955,2023-01-05 18:00:00,1869,Vikas Gupta,,,Home,,73969.0,0,,4,1
BharatKart Retail Pvt Ltd,5718,2023-01-05 19:00:00,1172,Priya Singh,,KA,Grocery,Shirt,7311.0,30,COD,12,
BharatKart Retail Pvt Ltd,5750,2023-01-05 20:00:00,2246,Rahul Verma,Bangalore,TN,Grocery,Sofa,,30,COD,1,3
BharatKart Retail Pvt Ltd,5732,2023-01-05 21:00:00,1652,,Pune,,Home,Shirt,50441.0,30,COD,1,3
BharatKart Retail Pvt Ltd,5372,2023-01-05 22:00:00,2869,Vikas Gupta,Pune,KA,Fashion,Mobile,107145.0,10,UPI,10,1
BharatKart Retail Pvt Ltd,5405,2023-01-05 23:00:00,1221,Priya Singh,unknown,MH,Electronics,Mobile,,5,COD,6,3
BharatKart Retail Pvt Ltd,3044,2023-01-06 00:00:00,1673,Priya Singh,Chennai,,Home,Shirt,77950.0,5,UPI,9,4
BharatKart Retail Pvt Ltd,7031,2023-01-06 01:00:00,3562,Vikas Gupta,Mumbai,TS,Fashion,Rice,55784.0,20,Card,14,5
BharatKart Retail Pvt Ltd,5923,2023-01-06 02:00:00,649,Priya Singh,unknown,MH,Home,,10950.0,30,Card,5,1
BharatKart Retail Pvt Ltd,7179,2023-01-06 03:00:00,3968,Priya Singh,Delhi,,Fashion,Sofa,,30,,1,3
BharatKart Retail Pvt Ltd,2840,2023-01-06 04:00:00,4927,Amit Sharma,Pune,MH,,Mobile,77036.0,,COD,14,1
BharatKart Retail Pvt Ltd,3308,2023-01-06 05:00:00,4010,Sneha Patil,Bangalore,TS,Home,,,10,COD,6,1
BharatKart Retail Pvt Ltd,2835,2023-01-06 06:00:00,4040,Priya Singh,Pune,KA,Fashion,,18609.0,10,,3,1
BharatKart Retail Pvt Ltd,7600,2023-01-06 07:00:00,3582,,Mumbai,KA,Electronics,,107607.0,0,COD,1,2
BharatKart Retail Pvt Ltd,6594,2023-01-06 08:00:00,729,Vikas Gupta,,TN,Home,Mobile,58983.0,30,,3,3
BharatKart Retail Pvt Ltd,6882,2023-01-06 09:00:00,5606,,Hyderabad,,Electronics,,101793.0,0,UPI,11,
BharatKart Retail Pvt Ltd,4638,2023-01-06 10:00:00,3383,,Hyderabad,MH,Grocery,Shirt,,30,COD,7,2
BharatKart Retail Pvt Ltd,4627,2023-01-06 11:00:00,4284,Vikas Gupta,Bangalore,TS,Fashion,Rice,23886.0,0,Card,9,2
BharatKart Retail Pvt Ltd,8151,2023-01-06 12:00:00,3497,Priya Singh,Chennai,,,Shirt,97386.0,0,COD,12,1
BharatKart Retail Pvt Ltd,4287,2023-01-06 13:00:00,2747,Vikas Gupta,Pune,MH,Electronics,Sofa,58650.0,30,Card,13,1
BharatKart Retail Pvt Ltd,1973,2023-01-06 14:00:00,5317,Amit Sharma,Pune,DL,Electronics,Mobile,86218.0,0,UPI,1,2
BharatKart Retail Pvt Ltd,7578,2023-01-06 15:00:00,2256,,Mumbai,KA,Fashion,Shirt,22684.0,5,UPI,1,4
BharatKart Retail Pvt Ltd,5135,2023-01-06 16:00:00,3971,,Mumbai,TS,Grocery,Mobile,57355.0,0,,9,1
BharatKart Retail Pvt Ltd,2155,2023-01-06 17:00:00,2312,Sneha Patil,Hyderabad,,Grocery,,41194.0,5,Card,6,3
BharatKart Retail Pvt Ltd,4485,2023-01-06 18:00:00,1447,Priya Singh,Delhi,TN,Grocery,Laptop,89300.0,,UPI,1,2
BharatKart Retail Pvt Ltd,7028,2023-01-06 19:00:00,3514,Sneha Patil,Chennai,MH,Fashion,Sofa,101067.0,20,COD,8,1
BharatKart Retail Pvt Ltd,5556,2023-01-06 20:00:00,5980,Vikas Gupta,Delhi,KA,Home,Rice,47223.0,5,COD,6,2
BharatKart Retail Pvt Ltd,3895,2023-01-06 21:00:00,5296,,Mumbai,,Fashion,Mobile,34093.0,20,Card,7,3
BharatKart Retail Pvt Ltd,8965,2023-01-06 22:00:00,1015,Rahul Verma,Delhi,KA,Home,Sofa,20476.0,10,,5,2
BharatKart Retail Pvt Ltd,4720,2023-01-06 23:00:00,2294,Amit Sharma,Hyderabad,DL,Home,Sofa,113271.0,10,Card,5,1
BharatKart Retail Pvt Ltd,1566,2023-01-07 00:00:00,2672,Amit Sharma,Hyderabad,MH,Fashion,Sofa,89630.0,,UPI,14,
BharatKart Retail Pvt Ltd,5774,2023-01-07 01:00:00,3695,Priya Singh,Pune,,,Sofa,67687.0,0,Card,10,
BharatKart Retail Pvt Ltd,1373,2023-01-07 02:00:00,3479,Priya Singh,,KA,,Rice,39885.0,5,,11,3
BharatKart Retail Pvt Ltd,3758,2023-01-07 03:00:00,3149,Vikas Gupta,Mumbai,TN,,Mobile,98520.0,10,COD,5,3
BharatKart Retail Pvt Ltd,4733,2023-01-07 04:00:00,5788,Sneha Patil,unknown,MH,Electronics,,51628.0,10,UPI,5,5
BharatKart Retail Pvt Ltd,5140,2023-01-07 05:00:00,2162,Sneha Patil,Bangalore,TS,,Mobile,101002.0,30,,4,1
BharatKart Retail Pvt Ltd,4035,2023-01-07 06:00:00,5449,,Chennai,TS,Home,Sofa,96053.0,,,3,2
BharatKart Retail Pvt Ltd,1647,2023-01-07 07:00:00,960,Vikas Gupta,Mumbai,TS,Grocery,Laptop,61975.0,,COD,11,2
BharatKart Retail Pvt Ltd,4793,2023-01-07 08:00:00,5786,Vikas Gupta,Mumbai,DL,Home,Sofa,5157.0,30,UPI,11,4
BharatKart Retail Pvt Ltd,7122,2023-01-07 09:00:00,4203,Rahul Verma,Mumbai,TS,Grocery,Shirt,40846.0,10,Card,3,3
BharatKart Retail Pvt Ltd,5591,2023-01-07 10:00:00,273,Priya Singh,Hyderabad,,Fashion,Rice,96208.0,5,,8,1
BharatKart Retail Pvt Ltd,1197,2023-01-07 11:00:00,3908,Amit Sharma,Delhi,MH,Grocery,Shirt,109694.0,10,,8,3
BharatKart Retail Pvt Ltd,3148,2023-01-07 12:00:00,3290,Sneha Patil,Delhi,MH,Grocery,Sofa,16357.0,20,Card,7,2
BharatKart Retail Pvt Ltd,4252,2023-01-07 13:00:00,4468,Priya Singh,unknown,TS,Fashion,Shirt,99638.0,20,Card,4,2
BharatKart Retail Pvt Ltd,2001,2023-01-07 14:00:00,1026,Vikas Gupta,Bangalore,,Electronics,Laptop,29669.0,30,,4,3
BharatKart Retail Pvt Ltd,1169,2023-01-07 15:00:00,5545,Vikas Gupta,Mumbai,MH,Electronics,Shirt,74073.0,,COD,1,3
BharatKart Retail Pvt Ltd,5125,2023-01-07 16:00:00,1276,sneha patil,unknown,TN,Grocery,Shirt,101392.0,0,Card,12,3
BharatKart Retail Pvt Ltd,3330,2023-01-07 17:00:00,5799,vikas gupta,Hyderabad,KA,Grocery,,87136.0,0,COD,6,3
BharatKart Retail Pvt Ltd,6952,2023-01-07 18:00:00,1339,Amit Sharma,Hyderabad,MH,Electronics,Rice,19417.0,0,COD,9,4
BharatKart Retail Pvt Ltd,8932,2023-01-07 19:00:00,4914,Sneha Patil,Hyderabad,MH,Grocery,Sofa,65656.0,0,UPI,12,1
BharatKart Retail Pvt Ltd,3238,2023-01-07 20:00:00,3476,,Delhi,TN,Fashion,Sofa,95074.0,,Card,12,2
BharatKart Retail Pvt Ltd,1726,2023-01-07 21:00:00,5588,Amit Sharma,Hyderabad,DL,Home,Sofa,4544.0,0,Card,10,2
BharatKart Retail Pvt Ltd,6858,2023-01-07 22:00:00,2616,Priya Singh,Bangalore,,Electronics,Sofa,55987.0,5,,10,1
BharatKart Retail Pvt Ltd,8180,2023-01-07 23:00:00,2601,,Pune,TN,Electronics,,87394.0,30,COD,9,2
BharatKart Retail Pvt Ltd,5742,2023-01-08 00:00:00,4359,Amit Sharma,Mumbai,TN,Electronics,,75416.0,20,Card,7,3
BharatKart Retail Pvt Ltd,8656,2023-01-08 01:00:00,585,Sneha Patil,Pune,TS,Electronics,Shirt,23682.0,,Card,1,2
BharatKart Retail Pvt Ltd,2954,2023-01-08 02:00:00,207,,,MH,Electronics,Sofa,52048.0,5,UPI,8,4
BharatKart Retail Pvt Ltd,1443,2023-01-08 03:00:00,4500,Amit Sharma,Hyderabad,TS,Fashion,,20714.0,20,Card,13,2
BharatKart Retail Pvt Ltd,1106,2023-01-08 04:00:00,2350,Vikas Gupta,Chennai,DL,Fashion,Mobile,64772.0,,UPI,13,
BharatKart Retail Pvt Ltd,8790,2023-01-08 05:00:00,2287,Amit Sharma,,KA,Electronics,Rice,56861.0,,UPI,12,4
BharatKart Retail Pvt Ltd,7004,2023-01-08 06:00:00,3030,Sneha Patil,,TN,Grocery,,105180.0,20,UPI,3,1
BharatKart Retail Pvt Ltd,7641,2023-01-08 07:00:00,2486,Vikas Gupta,Bangalore,KA,Home,Shirt,26045.0,10,COD,10,3
BharatKart Retail Pvt Ltd,6469,2023-01-08 08:00:00,1166,,,DL,Home,Sofa,77382.0,30,UPI,10,5
BharatKart Retail Pvt Ltd,5582,2023-01-08 09:00:00,2812,Amit Sharma,Pune,MH,Grocery,Sofa,2179.0,,COD,3,
